T,cv,entropy,internal_energy,helmholtz_free_energy
500.0,45.81374222551913,61.53517998635342,27086.017596289377,-3681.5723925617435
510.0,45.960605054603754,62.44387477252566,27544.89589135571,-4301.480238233505
520.0,46.09986197005424,63.33770131226582,28005.204349018568,-4930.400328887268
530.0,46.23201532628398,64.21708601451479,28466.86945647051,-5568.1861266762235
540.0,46.357527905968965,65.08244039097836,28929.822523472245,-6214.695283036026
550.0,46.47682647286663,65.93416145653096,29393.999304708028,-6869.789491689823
560.0,46.59030497400063,66.77263215435877,29859.339655883603,-7533.334345788834
570.0,46.69832742793077,67.59822179733774,30325.787220247603,-8205.199199391946
580.0,46.80123053192816,68.41128651878094,30793.2891425643,-8885.257033411008
590.0,46.89932601736261,69.2121697270434,31261.795807876155,-9573.384326087007
600.0,46.99290277945427,70.00120255958609,31731.260602671406,-10269.460928012813
610.0,47.082228804717374,70.77870433301813,32201.63969631943,-10973.369941679082
620.0,47.16755291690093,71.54498298639201,32672.891840856493,-11684.997605488748
630.0,47.2491063599814,72.30033551564564,33144.978187401735,-12404.233182161823
640.0,47.32710423475944,73.045048397594,33617.86211765799,-13130.96885143345
650.0,47.40174680382868,73.77939800228884,34091.50908910884,-13865.099606934562
660.0,47.473220678100475,74.50365099290491,34565.88649266278,-14606.523157134348
670.0,47.54169989665759,75.21806471258608,35040.96352161994,-15355.139830216764
680.0,47.60734691045829,75.92288755791053,35516.711050948434,-16110.85248275877
690.0,47.67031347929756,76.61835933881189,35993.10152595652,-16873.566412075634
700.0,47.73074149044316,77.30471162493984,36470.108859536165,-17643.18927209752
710.0,47.78876370648311,77.98216807855749,36947.70833723303,-18419.630992642313
720.0,47.844504449138675,78.6509447741628,37425.87652946955,-19202.803701950812
730.0,47.89808022509942,79.31125050509246,37904.591210311344,-19992.621652352846
740.0,47.949600299316494,79.96328707741957,38383.83128222507,-20789.001148935575
750.0,47.99916722063756,80.6072495914962,38863.57670632699,-21591.860481088712
760.0,48.046877304173044,81.24332671152142,39343.808437668165,-22401.119856804977
770.0,48.09282107434424,81.8717009235343,39824.508365143505,-23216.701339617994
780.0,48.13708367217076,82.49254878224421,40305.659255649756,-24038.528788063977
790.0,48.17974523000362,83.1060411471169,40787.244702151016,-24866.52779755768
800.0,48.22088121659732,83.71234340813591,41269.249075341,-25700.62564457709
810.0,48.26056275513249,84.31161570165735,41751.65747861871,-26540.751233056093
820.0,48.29885691654989,84.90401311677003,42234.455706119,-27386.835042887647
830.0,48.335826990331064,85.48968589256502,42717.630203562105,-28238.80908044492
840.0,48.37153273465845,86.06877960671021,43201.16803170617,-29096.60683103125
850.0,48.40603060770654,86.64143535571324,43685.056832205846,-29960.163213173975
860.0,48.439373981652324,87.20778992724507,44169.28479569602,-30829.414534680967
870.0,48.471613340846794,87.76797596488339,44653.8406319353,-31704.298450382095
880.0,48.50279646545685,88.32212212562264,45138.71354185758,-32584.753921481777
890.0,48.53296860176867,88.87035323048336,45623.893191392366,-33470.721176451756
900.0,48.562172620235344,89.41279040854056,46109.369686925995,-34362.14167339693
910.0,48.590449162256036,89.94955123467808,46595.13355228621,-35258.958063829705
920.0,48.617836776585364,90.48074986136143,47081.17570714192,-36161.11415779183
930.0,48.64437204619359,91.00649714471018,47567.487446718755,-37068.554890265266
940.0,48.670089706326245,91.52690076513711,48054.06042273849,-37981.22628881626
950.0,48.69502275444715,92.04206534281032,48540.88662549807,-38899.075442419846
960.0,48.719202552690675,92.55209254818097,49027.95836700998,-39822.05047141404
970.0,48.74265892339514,93.0570812078097,49515.26826513225,-40750.100498535656
980.0,48.76542023824168,93.55712740571254,50002.809228621205,-41683.17562099171
990.0,48.78751350147879,94.05232458043635,50490.57444304586,-42621.226883522875
1000.0,48.80896442767298,94.54276361806494,50978.55735750665,-43564.20625241712
1010.0,48.8297975143897,95.02853294134565,51466.75167210612,-44512.06659043384
1020.0,48.85003611017601,95.5097185951181,51955.1513261226,-45464.761632600734
1030.0,48.86970247818585,95.98640432821725,52443.75048684161,-46422.245962846966
1040.0,48.888817855762085,96.45867167201453,52932.54353900317,-47384.474991438714
1050.0,48.9074025102638,96.92660001575305,53421.52507482571,-48351.40493318367
1060.0,48.9254757914052,97.39026667882459,53910.68988457084,-49322.99278637379
1070.0,48.94305618035091,97.84974698012924,54400.03294761491,-50299.19631243579
1080.0,48.960161335794105,98.30511430465155,54889.5494239964,-51279.974016261505
1090.0,48.97680813722577,98.75644016737995,55379.234646409735,-52265.28512719042
1100.0,48.993012725588095,99.20379427469061,55869.0841126187,-53255.089580618755
1110.0,49.00879054148976,99.64724458331028,56359.09347826396,-54249.348000210026
1120.0,49.02415636114787,100.0868573569676,56849.258550041195,-55248.021680683785
1130.0,49.03912433020872,100.52269722083614,57339.575279228164,-56251.07257115963
1140.0,49.05370799558863,100.95482721386843,57830.03975553964,-57258.463259035016
1150.0,49.06792033546508,101.38330883911445,58320.648201291624,-58270.1569543763
1160.0,49.08177378753938,101.80820211211375,58811.39696585662,-59286.11747480323
1170.0,49.09528027568336,102.22956560744622,59302.282520393484,-60306.30923084813
1180.0,49.10845123507374,102.64745650352242,59793.30145283594,-61330.69721177162
1190.0,49.121297635911425,103.06193062568964,60284.45046312542,-62359.24697181791
1200.0,49.133830005815256,103.47304248772751,60775.72635867431,-63391.924616892924
1210.0,49.146058450973825,103.88084533180228,61267.12605004691,-64428.69679164959
1220.0,49.1579926761332,104.28539116694603,61758.64654684597,-65469.5306669654
1230.0,49.1696420034925,104.68673080612402,62250.284953793736,-66514.39392779754
1240.0,49.18101539057507,105.08491390195007,62742.03846699649,-67563.25476140181
1250.0,49.19212144713759,105.47998898110718,63233.904370383265,-68616.08184590237
